"weight","source","target","step_from","step_to"
854,Collectible Minifigures,other,1,2
36,Christmas,other,1,2
71,Advent,other,1,2
15,Power Functions,other,1,2
69,Make & Create,other,1,2
46,The Hobbit and Lord of the Rings,other,1,2
136,only_child,Bulk Bricks,1,2
175,only_child,Promotional,1,2
141,only_child,Primo,1,2
143,only_child,Duplo,1,2
254,Books,Story Books,1,2
371,Gear,Stationery and Office Supplies,1,2
388,Duplo,Basic Set,0,1
186,Seasonal,other,0,1
171,Legoland,other,1,2
91,Promotional,other,1,2
158,Train,other,1,2
50,LEGO Brand Store,other,1,2
101,only_child,Jurassic World,1,2
104,only_child,FIRST LEGO League,1,2
105,only_child,Fabuland,1,2
223,Gear,Role Play Toys and Costumes,1,2
10,Books,other,1,2
200,City,Police,1,2
134,Gear,Magnets,1,2
81,Hero Factory,other,1,2
289,Gear,Video Games and Accessories,1,2
32,"4 Juniors",other,1,2
3029,only_child,other,1,2
272,Space,other,1,2
157,Disney,other,1,2
93,Racers,other,1,2
25,Bionicle,other,1,2
35,Ninjago,other,1,2
39,Aquazone,other,1,2
51,Star Wars,other,1,2
64,Sports,other,1,2
147,only_child,Minecraft,1,2
732,only_child,Friends,1,2
140,only_child,Other,1,2
195,only_child,LEGO Brand Store,1,2
207,only_child,Racers,1,2
212,Books,Activity Books,1,2
109,Sports,Soccer,1,2
154,LEGO Brand Store,Monthly Mini Model Build,1,2
119,Disney,Disney Princess,1,2
105,Space,Classic Space,1,2
279,Castle,other,1,2
15,Architecture,other,1,2
64,System,other,1,2
7,Sculptures,other,1,2
2,Harry Potter,other,1,2
245,only_child,City,1,2
110,only_child,Nexo Knights,1,2
185,only_child,Creator,1,2
572,only_child,Ninjago,1,2
462,only_child,Technic,1,2
996,only_child,Star Wars,1,2
2,Studios,other,1,2
166,Gear,Storage,1,2
120,City,Fire,1,2
150,Books,Non-fiction Books,1,2
15,Agents,other,1,2
369,Educational and Dacta,Service Packs,0,1
100,Duplo,Disney,0,1
278,only_child,Service Packs,1,2
166,only_child,Brickheadz,1,2
298,Educational and Dacta,Duplo and Explore,0,1
124,Super Heroes Marvel,Avengers,0,1
204,Universal Building Set,Basic,1,2
26,Alpha Team,other,1,2
334,Town,other,1,2
346,Duplo,other,0,1
370,Gear,other,1,2
110,Pirates,other,1,2
83,Adventurers,other,1,2
32,Super Heroes DC,other,0,1
160,Universal Building Set,other,1,2
108,Super Heroes Marvel,Spider-Man,0,1
122,only_child,Mixels,1,2
183,only_child,Harry Potter,1,2
188,only_child,Modulex,1,2
162,only_child,Super Mario,1,2
215,System,HO 1:87 Vehicles,1,2
47,Legends of Chima,other,1,2
175,Super Heroes DC,Batman,0,1
467,Duplo,Town,0,1
474,only_child,Bionicle,1,2
669,only_child,Gear,1,2
351,Gear,Houseware,1,2
728,Gear,Key Chain,1,2
421,City,other,1,2
434,Service Packs,Technic,1,2
256,Creator,Creator 3-in-1,1,2
375,Books,Activity Books with LEGO Parts,1,2
531,System,Supplemental,1,2
122,Other,Database Sets,1,2
31,Super Heroes Marvel,other,0,1
1,Modular Buildings,other,1,2
10,Spider-Man,other,1,2
76,Service Packs,other,1,2
37,Juniors,other,1,2
42,The LEGO Movie,other,1,2
186,Creator,other,1,2
325,Educational and Dacta,other,0,1
199,Seasonal,Christmas,0,1
103,only_child,Legends of Chima,1,2
100,Gear,Bag and Luggage Tags,1,2
452,Town,Classic Town,1,2
149,System,Samsonite,1,2
51,Batman,other,1,2
103,Books,Ideas Books,1,2
183,Technic,other,1,2
106,Train,"9V",1,2
214,Gear,Clocks and Watches,1,2
148,Mindstorms,other,1,2
