"n_pieces","color_name","color_rgb"
2,HO Metallic Blue,"0d4763"
20,Pearl Blue,"0059A3"
0,Modulex Foil Light Blue,"68AECE"
5597,Bright Light Blue,"9FC3E9"
80,Modulex Tile Blue,"0057A6"
3,HO Sand Blue,"6e8aa6"
6,Duplo Blue,"009ECE"
8,Modulex Medium Blue,"61AFFF"
1104,Modulex Teal Blue,"467083"
1,HO Metallic Sand Blue,"5f7d8c"
13581,Medium Blue,"5A93DB"
127,Sky Blue,"7DBFDD"
902,Pastel Blue,"5AC4DA"
24,Vintage Blue,"039CBD"
4,Chrome Blue,"6C96BF"
1,HO Medium Blue,"7396c8"
1,HO Cyan,"5b98b3"
150,Pearl Sand Blue,"7988A1"
42403,Dark Blue,"0A3463"
13084,Dark Azure,"078BC9"
21292,Medium Azure,"36AEBF"
7647,Sand Blue,"6074A1"
1,Duplo Medium Blue,"3E95B6"
198335,Blue,"0055BF"
9,HO Dark Blue,"0A3463"
1,HO Azure,"1591cb"
287,Royal Blue,"4C61DB"
44,Light Blue,B4D2E3
0,Modulex Foil Dark Blue,"0057A6"
467,Maersk Blue,"3592C3"
18,Modulex Pastel Blue,"68AECE"
