"year","n_colors"
2018,67
1985,24
2017,64
1990,21
2007,62
1987,20
1969,13
2022,75
1955,7
1961,17
2004,116
2001,74
1980,18
2016,68
1981,16
1965,15
1971,9
1975,11
1964,16
1960,8
1949,10
2003,100
1993,29
1979,18
1986,23
2014,62
2013,63
2011,65
1963,40
1958,37
1966,10
1954,7
1984,17
2024,76
1998,52
2009,56
2012,66
1996,32
1978,16
1983,18
2020,74
1967,10
1988,19
1959,9
1977,12
2000,65
1994,32
2002,80
1992,26
2005,107
1982,21
1989,21
1973,10
2021,72
1953,5
1972,10
1974,13
1970,11
1950,3
2006,93
1995,33
2010,62
2015,66
1997,41
2008,61
1976,12
1956,6
1962,10
1968,9
1957,17
2019,65
1991,24
1999,58
2023,77
